a	c
alacrity	ə'lækriti
alar	'eilə
alarm	ə'lɑ:m
alarming	ə'lɑ:miɳ
alarmist	ə'lɑ:mist
alarum	ə'leərəm
alas	ə'lɑ:s
alb	ælb
albacore	'ælbəkɔ:
albanian	æl'beinjən
albata	æl'beitə
albatross	'ælbətrɔs
albeit	ɔ:l'bi:it
albert	'ælbət
albescent	æl'besənt
albinism	'ælbinizm
albino	æl'bi:nou
albion	'ælbjən
albite	'ælbait
albugo	æl'bju:gou
album	'ælbəm
albumen	'ælbjumin
albumenize	æl'bju:mənaiz
albumin	'ælbjumin
albuminoid	æl'bju:minɔid
albuminous	æl'bju:minəs
albuminuria	æl,bju:mi'njuəriə
alburnum	æl'bə:nəm
alchemic	æl'kemik
alchemical	æl'kemik
alchemise	'ælkimaiz
alchemist	'ælkimist
alchemize	'ælkimaiz
alchemy	'ælkimi
alcohol	'ælkəhɔl
alcoholic	,ælkə'hɔlik
alcoholise	'ælkəhɔlaiz
alcoholism	'ælkəhɔlizm
alcoholization	,ælkəhɔlai'zeiʃn
alcoholize	'ælkəhɔlaiz
alcoholometer	,ælkəhɔ'lɔmitə
alcoholometry	,ælkəhɔ'lɔmitri
alcoran	,ælkɔ'rɑ:n
alcove	'ælkouv
aldehyde	'ældihaid
alder	'ɔl:də
alderman	'ɔ:ldəmən
aldermanry	'ɔ:ldəmənri
aldermanship	'ɔ:ldəmənʃip
ale	eil
aleak	ə'li:k
aleatory	'eiliətəri
alee	ə'li:
alegar	'eiligɑ:
alembic	ə'lembik
alert	ə'lə:t
alertness	ə'lə:tnis
aleuron	ə'lju:rən
aleurone	ə'lju:rən
alexandrine	ælig'zændrain
alexin	ə'leksin
alexipharmic	ə,leksi'fɑ:mik
alfalfa	æl'fælfə
alfresco	æl'freskou
alga	'ælgə
algae	'ælgə
algebra	'ældʤibrə
algebraic	'ældʤibrə
algebraical	'ældʤibrə
algebraist	,ældʤi'breiist
algerian	æl'dʤiəriən
algerine	æl'dʤiəriən
algid	'ældʤid
algidity	æl'dʤiditi
algologist	æl'gɔlədʤist
algology	æl'gɔləddʤi
algorism	'ælgərizm
algorithm	'ælgəriðm
alias	'eiliæs
alibi	'ælibai
alicylic	,æli'saiklik
alidad	'ælidæd
alidade	'ælideid
alien	'eiljən
alienability	,eiljənə'biliti
alienable	'eiljənəbl
alienate	'eiljəneit
alienation	,eiljə'neiʃn
alienator	'eiljəneitə
alienee	eiljə'ni:
alienism	'eiljənizm
alienist	'eiljənist
aliform	'eilifɔ:m
alight	ə'lait
align	ə'lain
alignment	ə'lainmənt
alike	ə'laik
aliment	'ælimənt
alimental	,æli'mentl
alimentary	,æli'mentəri
alimentation	,ælimen'teiʃn
alimony	'æliməni
aline	ə'lain
alinement	ə'lainmənt
aliped	'æliped
aliphatic	,æli'fætik
aliquote	'ælikwɔt
alive	ə'laiv
alizarin	ə'lizərin
alizarine	ə'lizərin
alkalescence	,ælkə'lesns
alkalescent	,æælkə'lesnt
alkali	'ælkəlai
alkalifiable	'ælkəlifaiəbl
alkalify	'ælkəlifai
alkalimeter	,ælkə'limitə
alkalimetric	,ælkəli'metrik
alkalimetry	,ælkə'limitri
alkaline	'ælkəlain
alkalization	,ælkəlai'zeiʃn
alkalize	'ælkəlaiz
alkaloid	'ælkəlɔid
all	ɔ:l
allah	'ælə
allay	ə'lei
allegation	,æle'geiʃn
allege	ə'ledʤ
alleged	ə'ledʤd
allegiance	ə'li:dʤəns
allegoric	,æle'gɔrik
allegorist	'æligərist
allegorize	'æligəraiz
allegory	'æligəri
allegretto	,æli'gretou
allegro	ə'leigrou
alleluia	,æli'lu:jə
allemande	'ælma:nd
allergic	ə'lə:dʤik
allergy	'ælədʤi
alleviate	ə'li:vieit
alleviation	ə,li:vi'eiʃn
alleviative	ə'li:vieitiv
alleviator	ə'li:vieitə
alley	'æli
alliaceous	,æli'eiʃəs
alliance	ə'laiəns
allied	ə'laid
alligator	'æligeitə
alliterate	ə'litəreit
alliteration	ə,litə'reiʃn
alliterative	ə'litərətiv
allocate	'æləkeit
allocation	æ,lə'keiʃn
allocution	,ælou'kju:ʃn
allodium	ə'loudjəm
allogamy	ə'logəmi
allomeric	,ælə'merik
allomerism	ə'lɔmərizm
allopath	'æloupæθ
allopathic	,ælou'pæθik
allopathy	ə'lɔpəθi
allot	ə'lɔt
allotment	ə'lɔtmənt
allotropic	,ælə'trɔpik
allotropism	ə'lɔtrəpizm
allotropy	ə'lɔtrəpizm
allottee	ə,lɔ'ti:
allow	ə'lau
allowable	ə'lauəbl
allowance	ə'lauəns
allowedly	ə'lauidli
alloy	'ælɔi
allseed	'ɔ:l,si:d
allspice	'ɔ:lspais
allude	ə'lu:d
allure	ə'ljuə
allurement	ə'ljuəmənt
alluring	ə'lujəriɳ
alluringness	ə'ljuəriɳnis
allusion	ə'lu:ʤn
allusive	ə'lu:siv
allusiveness	ə'lu:sivnis
alluvia	ə'lu:vjəm
alluvial	ə'lu:vjəl
alluvion	ə'lu:vjən
alluvium	ə'lu:vjəm
ally	'æli
alma	'ælmə
almagest	'ælmədʤest
almah	'ælmə
almanac	'ɔ:lmənæk
almanack	'ɔ:lmənæk
almightily	ɔ:l'maitili
almightiness	ɔ:l'maitinis
almighty	ɔ:l'maiti
almond	'ɑ:mənd
almoner	'ɑ:mənə
almonry	'ɑ:mənri
almost	'ɔ:lmoust
alms	ɑ:mz
almsman	'ɑ:mzmən
almswoman	'ɑ:mz,wumən
aloe	'ælou
aloft	ə'lɔft
alone	ə'loun
aloneness	ə'lounnis
along	ə'lɔɳ
alongside	ə'lɔɳ'said
aloof	ə'lu:f
aloofness	ə'lu:fnis
alopecia	,ælɔ'pi:ʃiə
aloud	ə'laud
alow	ə'lou
alp	ælp
alpaca	æl'pækə
alpenstock	'ælpinstɔk
alpha	'ælfə
alphabet	'ælfəbit
alphabetic	,ælfə'betik
alphabetically	,ælfə'betikəli
alphabetise	ælfəbetaiz
alphabetize	ælfəbetaiz
alpine	'ælpain
alpinist	'ælpinist
already	ɔ:l'redi
also	'ɔ:lsou
alt	ælt
altar	'ɔ:ltə
alter	'ɔ:ltə
alterability	,ɔ:ltərə'biliti
alterable	'ɔ:ltərəbl
alterableness	,ɔ:ltərə'biliti
alteration	,ɔ:ltə'reiʃn
alterative	'ɔ:ltərətiv
altercate	'ɔ:ltə:keit
altercation	,ɔ:ltə:'keiʃn
alternant	ɔ:l'tə:nənt
alternate	ɔ:l'tə:nit
alternating	'ɔ:ltə:neitiɳ
alternation	,ɔ:ltə'neiʃn
alternative	ɔ:l'tə:nətiv
alternativity	ɔ:l'tə:nə'tiviti
alternator	'ɔ:ltəneitə
although	ɔ:l'ðou
altigraph	'æltigrɑ:f
altimeter	'æltimi:tə
altitude	'æltitju:d
alto	'æltou
altogether	,ɔ:ltə'geðə
altogetherness	,ɔ:ltə'geðənis
altruism	'æltruizm
altruist	'æltruist
altruistic	,æltru'istik
alum	'æləm
alumina	ə'lju:minə
aluminium	,ælju'minjəm
aluminous	ə'lju:minəs
aluminum	ə'ljuminəm
alumna	ə'lʌmnə
alumnae	ə'lʌmnə
alumni	ə'lʌmnəs
alumnus	ə'lʌmnəs
alveolar	æl'viələ
alveolate	æl'viəlit
alveoli	æl'viələs
alveolus	æl'viələs
always	'ɔ:lwəz
amah	'ɑ:mə
amain	ə'mein
amalgam	ə'mælgəm
amalgamate	ə'mælgəmeit
amalgamated	ə'mælgəmeitid
amalgamation	ə,mælgə'meiʃn
amalgamator	ə'mælgəmeitə
amanita	,æmə'naitə
amanuenses	ə,mænju'ensi:z
amanuensis	ə,mænju'ensi:z
amaranth	'æmərænθ
amaranthine	,æmə'rænθain
amaryllidaceous	,æmərili'deiʃəs
amaryllis	,æmə'rilis
amass	ə'mæs
amassment	ə'mæsmənt
amateur	'æmətə:
amateurish	,æmə'təri:ʃ
amateurishness	,æmə'tə:riʃnis
amateurism	,æmə'tə:rizm
amative	'æmətiv
amativeness	'æmətivnis
amatol	'æmətɔl
amatory	'æmətəri
amaurosis	,æmɔ:'rousis
amaze	ə'meiz
amazedly	ə'meizidli
amazement	ə'meizmənt
amazing	ə'meiziɳ
amazon	'æməzən
ambages	æm'beidʤi:z
ambassador	æm'bæsədə
ambassadorial	æm,bæsə'dɔ:riəl
ambassadress	æm'bæsədris
amber	'æmbə
ambergris	'æmbəgri:s
ambidexter	'æmbi'dekstə
ambidexterity	'æmbideks'teriti
ambidexterous	'æmbi'dekstə
ambidexterousness	'æmbideks'teriti
ambidextrous	'æmbi'dekstə
ambidextrousness	'æmbideks'teriti
ambient	'æmbiənt
ambiguity	,æmbi'gju:iti
ambiguous	æm'bigjuəs
ambiguousness	,æmbi'gju:iti
ambit	'æmbit
ambition	æm'biʃn
ambitious	æm'biʃəs
ambitiousness	æm'bigjuəsnis
ambivalence	'æmbi'veiləns
ambivalent	'æmbi'veilənt
amble	'æmbl
ambler	'æmblə
amblyopia	,æmbli'oupjə
amblyopic	,æmbli'ɔpik
ambo	'æmbou
ambrosia	æm'brouzjə
ambrosial	æm'brouzjəl
ambulance	'æmbjuləns
ambulant	'æmbjulənt
ambulatory	'æmbjulətəri
ambury	'ænbəri
ambuscade	,æmbəs'keid
ambush	'æmbuʃ
ameba	ə'mi:bə
amebae	ə'mi:bə
ameliorate	ə'mi:ljəreit
amelioration	ə,mi:ljə'reiʃn
ameliorative	ə'mi:ljərətiv
ameliorator	ə'mi:ljəreitə
amen	'ɑ:'men
amenability	ə,mi:nə'biliti
amenable	ə'mi:nəbl
amenableness	ə,mi:nə'biliti
amenably	ə'mi:nəbli
amend	ə'mend
amendment	ə'mendmənt
amends	ə'mendz
amenity	ə'mi:niti
amenorrhea	'eimenɔ'ri:ə
amenorrhoea	'eimenɔ'ri:ə
ament	ə'mentəm
amenta	ə'mentəm
amentaceous	,æmen'teiʃɔs
amentia	ei'menʃiə
amentiferous	,æmen'tifərəs
amentiform	ə'mentifɔ:m
amentum	ə'mentəm
amerce	ə'mə:s
amercement	ə'mə:smənt
american	ə'merikən
americanise	ə'merikənɑiz
americanism	ə'merikənizm
americanization	ə,merikənai'zeiʃn
americanize	ə'merikənɑiz
americium	,æmə'risiəm
amerind	'æmərind
amethyst	'æmiθist
amethystine	,æmi'θistain
ametropy	æ'mitrəpi
amiability	,eimjə'biliti
amiable	'eimjəbl
amiableness	,eimjə'biliti
amianthus	,æmi'ænθəs
amicability	'æmikəblnis
amicable	'æmikəbl
amicableness	'æmikəblnis
amice	'æmis
amid	ə'mid
amide	'æmaid
amidin	'æmidin
amidol	'æmidɔl
amidships	ə'midʃips
amidst	ə'mid
amine	'æmain
amiss	ə'mis
amitosis	,æmi'tousis
amity	'æmiti
ammeter	'æmitə
ammiaceous	,æmi'eiʃəs
ammo	'æmou
ammonal	'æmənəl
ammonia	ə'mounjə
ammoniac	ə'mouniæk
ammoniacal	,æmou'naiəkəl
ammonification	ə,mɔnifi'keiʃn
ammonite	'æmənait
ammonium	ə'mounjəm
ammunition	,æmju'niʃn
amnesia	æm'ni:zjə
amnesty	'æmnesti
amnia	'æmniən
amnion	'æmniən
amoeba	ə'mi:bə
amoebae	ə'mi:bə
amoebic	ə'mi:bik
amoeboid	ə'mi:bɔid
amok	ə'mʌk
among	ə'mʌɳ
amongst	ə'mʌɳ
amoral	æ'mɔrəl
amorist	'æmərist
amorous	'æmərəs
amorousness	'æmərəsnis
amorphism	ə'mɔ:fizm
amorphous	ə'mɔ:fəs
amorphousness	ə'mɔ:fəsnis
amortise	ə'mɔ:taiz
amortization	ə,mɔ:ti'zeiʃn
amortize	ə'mɔ:taiz
amount	ə'maunt
amour	ə'muə
amourette	,æmu'ret
amp	æmp
amperage	'æmpeəridʤ
ampere	'æmpeə
amperemeter	'æmpeə,mi:tə
ampersand	'æmpəsænd
amphibia	æm'fibiə
amphibian	æm'fibiən
amphibiology	,æmfibi'ɔlədʤi
amphibious	æm'fibiəs
amphibiousness	æm'fibiəsnis
amphibological	,æmfibə'lɔdʤikəl
amphibology	,æmfi'bɔlədʤi
amphictyony	æm'fiktiəni
amphigam	'æmfigæm
amphigamous	æm'figəməs
amphigenous	æm'fidʤinəs
amphigory	'æmfigəri
amphigouri	'æmfigəri
amphigouric	,æmfi'gu:rik
amphimixis	,æmfi'miksis
amphioxus	,æmfi'ɔksəs
amphipod	'æmfipɔd
amphipoda	æm'fipədə
amphipodan	æm'fipədən
amphipodous	æm'fipədəs
amphiprostyle	æm'fiprəstail
amphisbaena	,æmfis'bi:nə
amphitheatre	'æmfi,θiətə
amphitheatrical	,æmfiθi'ætrikəl
amphitryon	æm'fitriən
amphora	'æmfərə
amphoric	æm'fɔrik
amphoteric	,æmfə'terik
ample	'æmpl
ampleness	'æmplnis
amplexicaul	æm'pleksikɔ:l
ampliative	'æmliətiv
amplidyne	'æmplidain
amplification	,æmplifi'keiʃn
amplifier	'æmplifaiə
amplify	'æmplifai
amplitude	'æmplitju:d
ampoule	ampoule'æmpu:l
ampule	ampoule'æmpu:l
ampulla	æm'pulə
ampullaceous	,æmpə'leiʃəs
ampullae	æm'pulə
amputate	'æmpjuteit
amputation	,æmpju'teiʃn
amputator	'æmpjuteitə
amputee	,æmpju'ti:
amuck	ə'mʌk
amulet	'æmjulit
amusable	ə'mju:zəbl
amuse	ə'mju:z
amusement	ə'mju:zmənt
amusing	ə'mju:ziɳ
amusive	ə'mju:ziv
amygdalic	,æmig'dælik
amygdaloid	ə'migdəlɔid
amyl	'æmil
amylaceous	,æmi'leiʃəs
amylic	ə'mikil
amyloid	'æmilɔid
amylopsin	,æmi'lɔpsin
an't	ɑ:nt
ana	'ɑ:nə
anabaptism	,ænə'bæptizm
anabaptist	,ænə'bæptist
anabaptistical	,ænəbæp'tistikəl
anabas	'ænəbæs
anabatic	,ænə'bætik
anabiosis	,ænəbi'ousis
anabolic	ænə'bɔlik
anabolism	ə'næbəlizm
anabranch	'ænəbrɑ:ntʃ
anacard	'ænəkɑ:d
anacardiaceous	,ænəkɑ:di'eiʃəs
anacardium	,ænə'kɑ:diəm
anachronic	,ænə'krɔnik
anachronism	ə'nækrənizm
anachronistic	ə'nækrə'nistik
anaclastic	,ænə'klæstik
anaclastics	,ænə'klæstiks
anacolutha	,ænəkə'lu:θɔn
anacoluthon	,ænəkə'lu:θɔn
anaconda	,ænə'kɔndə
anacreontic	,ænækri'ɔntik
anacrusis	ə,nækri'ɔntik
anadromous	ə'nædrəməs
anaemia	ə'ni:mjə
anaemic	ə'ni:mik
anaerobe	ə'neiroub
anaerobia	ə'neiroub
anaerobian	,ænei'roubiən
anaerobic	,ænei'roubiən
anaerobium	ə'neiroub
anaesthesia	,ænis'θi:zjə
anaesthetic	,ænis'θetik
anaesthetise	æ'ni:sθitaiz
anaesthetist	æ'ni:sθitist
anaesthetization	æ,ni:sθitai'zeiʃn
anaesthetize	æ'ni:sθitaiz
anaglyph	'ænəglif
anaglyphic	ænəg'lifik
anaglyphical	ænəg'lifik
anagnorisis	,ænəg'nɔrisis
anagoge	,ænə'goudʤi
anagogic	,ænə'gɔdʤik
anagogical	,ænə'gɔdʤik
anagogy	,ænə'goudʤi
anagram	'ænəgræm
anagrammatic	,ænəgrə'mætik
anagrammatical	,ænəgrə'mætik
anagrammatise	,ænə'græmətaiz
anagrammatism	,ænə'græmətizm
anagrammatist	,ænə'græmətist
anagrammatize	,ænə'græmətaiz
anal	'einəl
analecta	,ænə'lektə
analects	,ænə'lektə
analeptic	,ænə'letik
analgesia	,ænæl'dʤi:zjə
analgesic	,ænæl'dʤesik
analgetic	,ænæl'dʤesik
analogic	,ænə'lɔdʤikəl
analogical	,ænə'lɔdʤikəl
analogise	ə'nælədʤaiz
analogist	ə'nælədʤist
analogize	ə'nælədʤaiz
analogous	ə'næləgəs
analogousness	ə'næləgəsnis
analogue	'ænəlɔg
analogy	ə'nælədʤi
analphabet	ə'nælfəbet
analphabetic	ə'nælfəbet
analysability	,ænəlaizə'biliti
analysable	'ænəlaizəbl
analyse	'ænəlaiz
analyser	'ænəlaizə
analyses	ə'næləsis
analysis	ə'næləsis
analyst	'ænəlist
analytic	,ænə'litik
analytical	,ænə'litikəl
analytics	,ænə'litiks
analyze	'ænəlaiz
analyzer	'ænəlaiz
anamnesis	,ænæm'ni:sis
anamorphosis	,ænə'mɔ:fəsis
ananas	ə'nɑ:nəs
anandrous	æ'nændrəs
ananias	,ænə'naiəs
anapaest	'ænəpi:st
anapaestic	,ænə'pi:stik
anapest	'ænəpest
anapestic	'ænəpest
anaphase	'ænəfeiz
anaphora	ə'næfərə
anaphoric	,ænə'fɔrik
anaphylaxis	,ænəfi'læksis
anaplastic	,ænə'plæstik
anaplasty	'ænəplæsti
anarch	'ænɑ:k
anarchic	ə'nɑ:kikəl
anarchical	ə'nɑ:kikəl
anarchism	'ænəkizm
anarchist	'ænəkist
anarchy	'ænəki
anarthrous	ə'nɑ:θrəs
anasarca	,ænə'sɑ:kə
anasarcous	,ænə'sɑ:kəs
anastatic	,ænə'stætik
anastigmat	æ'næstigmæt
anastigmatic	æ,næstig'mætik
anastomose	ə'næstəmouz
anastomoses	,ænəstə'mousis
anastomosis	,ænəstə'mousis
anastrophe	æ'næstrəfi
anathema	ə'næθimə
anathematic	ə,næθi'mætikəl
anathematical	ə,næθi'mætikəl
anathematise	ə'næθimətais
anathematize	ə'næθimətais
anatomical	,ænə'tɔmikəl
anatomise	ə'nætəmaiz
anatomist	ə'nætəmist
anatomize	ə'nætəmaiz
anatomy	ə'nætəmi
anatropous	ə'nætrəpəs
anatta	ə'nætə
anatto	ə'nætə
anbury	'ænbəri
ance	'ækni
ancestor	'ænsistə
ancestral	æn'sestrəl
ancestress	'ænsistris
ancestry	'ænsistri
anchor	'æɳkə
anchorage	'æɳkəridʤ
anchored	'æɳkəd
anchoress	'æɳkəris
anchoret	'æɳkəret
anchoretic	,æɳkə'retik
anchorite	'æɳkəret
anchovy	'æntʃəvi
anchylose	'æɳkilouz
anchylosis	,æɳkai'lousis
ancient	'einʃənt
ancientness	'einʃəntris
ancientry	'einʃəntri
ancillary	æn'siləri
ancon	'æɳkɔn
ancress	'æɳkəris
andante	æn'dænti
andantino	,ændæn'ti:nou
andiron	'ændaiən
androecium	æn'dri:ʃiəm
androgen	'ændrədʤən
androgyne	æn'drɔdʤin
androgynous	æn'drɔdʤinəs
andromeda	æn'drɔmidə
anecdotage	'ænikdoutidʤ
anecdotal	,ænek'doutl
anecdote	'ænikdout
anecdotic	,ænek'dɔtik
anecdotical	,ænek'dɔtik
anecdotist	'ænikdoutist
anele	ə'ni:l
anemograph	ə'neməgrɑ:f
anemographic	ə,nemə'græfik
anemometer	,æni'mɔmitə
anemometric	,ænimou'metrik
anemometry	,æni'mɔmitri
anemone	ə'neməni
anemophilous	,æmi'mɔfiləs
anemoscope	ə'neməskoup
anent	ə'nent
aneroid	ænərɔid
anesthesia	,ænis'θi:zjə
anesthetic	,ænis'θetik
anethum	'æniθʌm
aneurism	'ænjuərizm
aneurismal	,ænjuə'risməl
aneurysm	'ænjuərizm
aneurysmal	,ænjuə'risməl
anew	ə'nju:
anfractuosity	,ænfræktju'ɔsiti
anfractuous	æn'fræktjuəs
angary	'æɳgəri
angel	'eindʤəl
angelic	æn'dʤəlikəl
angelica	æm'dʤelikə
angelical	æn'dʤəlikəl
angelus	'ændʤiləs
anger	'æɳgə
angina	æn'dʤainə
anginose	æn'dʤainəs
anginous	æn'dʤainəs
angioma	,ændʤi'oumə
angiosperm	'ændʤiəspə:m
angiospermous	,ændʤiəs'pə:məs
angle	'æɳgl
angled	'æɳgld
angler	'æɳglə
angleworm	'æɳglwə:m
anglican	'æɳglikən
anglicanism	'æɳglikənizm
anglice	'æɳglisi
anglicise	'æɳglisaiz
anglicism	'æɳglisizm
anglicize	'æɳglisaiz
angling	'æɳgliɳ
anglomania	'æɳglou'meinjə
anglomaniac	'æɳglou'meiniæk
anglophile	'æɳgloufail
anglophobe	'æɳgloufoub
anglophobia	'æɳglou'foubjə
angola	æɳ'gɔ:rə
angora	æɳ'gɔ:rə
angostura	,æɳgɔs'tjuərə
angrily	'æɳgrili
angry	'æɳgri
anguine	'æɳgwin
anguish	'æɳgwiʃ
angular	'æɳgjulə
angularity	,æɳgju'læriti
angularly	'æɳgjuləli
angularness	,æɳgju'læriti
angulate	'æɳgjuleit
angulation	,æɳgju'leiʃn
angustifoliate	æɳ,gʌti'fouliit
angustura	,æɳgɔs'tjuərə
anhelation	,ænhi'leiʃn
anhelous	æn'hi:ləs
anhydride	æn'haidraid
anhydrite	æn'haidrait
anhydrous	æn'haidrəs
aniconic	,ænai'kɔnik
anicut	'ænikʌt
anigh	ə'nai
anil	'ænil
anile	'einail
aniline	'ænili:n
anility	æ'niliti
animadversion	,ænimæd'və:ʃn
animadvert	,ænimæd'və:t
animal	'æniməl
animalcular	,æni'mælkjulə
animalcule	,æni'mælkju:l
animalise	'æniməlaiz
animalism	'æniməlizm
animalist	'æniməlist
animality	,æni'mæliti
animalization	,æniməlai'zeiʃn
animalize	'æniməlaiz
animate	'ænimit
animated	'ænimeitid
animation	,æni'meiʃn
animato	,ɑ:ni'mɑ:tou
animator	'ænimeitə
animism	'ænimizm
animist	'ænimist
animistic	,æni'mistik
animosity	,æni'mɔsiti
animus	'æniməs
animé	'ænimei
anion	'ænaiən
anise	'ænis
aniseed	'ænisi:d
anisette	,æni'zet
anisodactylous	,ænaisə'dæktiləs
anisomeric	,naisou'merik
anisomerous	,ænai'sɔmərəs
anisometric	,ænaisou'metrik
anisometropia	,ænaisəmi'troupjə
anisopetalous	,ænaisə'petələs
anisophyllous	,ænaisə'filəs
anisopia	,ænai'soupjə
anisotropic	,ænaisə'trɔpik
anisotropy	,ænai'sɔtrəpi
anker	'ænkə
ankh	æɳk
ankle	'æɳkl
anklet	'æɳklit
anna	'ænə
annalist	'ænəlist
annalistic	,ænə'listik
annals	'ænlz
annates	'ænits
anneal	ə'ni:l
annectent	ə'nektənt
annelid	'ænilid
annelida	ə'nelidə
annelidan	ə'nelidən
annex	ə'neks
annexable	ə'neksəbl
annexation	,ænek'seiʃn
annexe	ə'neks
annicut	'ænikʌt
annihilable	ə'naiələbl
annihilate	ə'naiəleit
annihilation	ə,naiə'leiʃn
annihilationism	ə,naiə'leiʃənizm
annihilationist	ə,naiə'leiʃənist
annihilator	ə'naiəleitə
anniversary	,æni'və:səri
annonaceae	,ænə'neisii:
annotate	'ænouteit
annotation	,ænou'teiʃn
annotator	'ænouteitə
announce	ə'nauns
announcement	ə'naunsmənt
announcer	ə'naunsə
annoy	ə'nɔi
annoyance	ə'nɔiəns
annoyed	ə'nɔid
annoying	ə'nɔiiɳ
annual	'ænjuəl
annually	'ænjuəli
annuitant	ə'nju:itənt
annuity	ə'nju:iti
annul	ə'nʌl
annular	'ænjulə
annulary	'ænjuləri
annulate	'ænjuleit
annulated	'ænjuleit
annulation	,ænju'leiʃn
annulet	'ænjulet
annullable	ə'nʌləbl
annulment	ə'nʌlmənt
annuloid	'ænjulɔid
annulose	'ænjulous
annunciate	ə'nʌnʃieit
annunciation	ə,nʌnsi'eiʃn
annunciator	ə'nʌnʃieitə
anocarpous	,ænou'kɑ:pəs
anodal	'ænoudəl
anode	'ænoud
anodic	æ'nɔdik
anodyne	'ænoudain
anoesis	,nou'i:sis
anoetic	,ænou'etik
anoint	ə'nɔint
anointment	ə'nɔintmənt
anomalistic	ə,nɔmə'listik
anomalous	ə'nɔmələs
anomalousness	ə'nɔmələsnis
anomaly	ə'nɔməli
anomocarpous	,ænəmə'kɑ:pəs
anon	ə'nɔn
anonaceae	,ænə'neisii:
anonym	'ænənim
anonymity	,ænə'nimiti
anonymous	ə'nɔniməs
anonymousness	ə'nɔniməsnis
anopheles	ə'nɔfili:z
anorak	'ænəræk
anorexia	,ænou'reksi
anorexy	,ænou'reksi
anorganic	,ænɔ:'gænik
anosmia	æ'nɔsmiə
another	ə'nʌðə
anourous	ə'nuərəs
anoxaemia	,ænɔk'si:miə
anoxia	,ænɔk'si:miə
ansate	'ænseit
anserine	'ænsərain
answer	'ɑ:nsə
answerable	'ɑ:nsərəbl
answerer	'ɑ:nsərə
ant	ænt
antacid	'ænt'æsid
antagonise	æn'tægənaiz
antagonism	æn'tægənizm
antagonist	æn'tægənist
antagonistic	æn,tægə'nistik
antagonize	æn'tægənaiz
antalgic	æn'tældʤik
antalkali	'ænt'ælkəlai
antalkaline	'ænt'ælkəlain
antaphrodisiac	,æntæfrou'diziæk
antarctic	ænt'ɑ:ktik
antarthritic	,æntɑ:'θritik
antasthmatic	,æntæs'mætik
ante	'ænti
antecedence	,ænti'si:dəns
antecedent	,ænti'si:dənt
antechamber	'ænti,tʃeimbə
antedate	'ænti'deit
antediluvian	'æntidi'lu:vjən
antelope	'æntiloup
antemeridian	'æntimə'ridiən
antemundane	'ænti'mʌndein
antenatal	'ænti'neitl
antenna	æn'tenə
antennae	æn'tenə
antennal	æn'tenəri
antennary	æn'tenəri
antenniform	æn'teinfɔ:m
antennule	æn'tenju:l
antenuptial	'ænti'nʌpʃəl
antependium	,ænti'pendiəm
antepenult	'æntipi'nʌlt
antepenultimate	'æntipi'nʌlt
anteprandial	'ænti'prændjəl
anterior	æn'tiəriə
anteriority	æn,tiəri'ɔriti
anthelia	æn'θi:ljə
anthelion	æn'θi:ljə
anthelmintic	,ænθel'mintik
anthem	'ænθəm
anther	'ænθə
antheral	'ænθərəl
antheridium	,ænθə'ridiəm
antheriferous	,ænθə'rifərəs
anthesis	æn'θi:sis
anthocyanin	,ænθə'saiənin
anthologist	æn'θɔlədʤist
anthologize	æn'θɔlədʤaiz
anthology	æn'θɔlədʤi
anthony	'æntəni
anthozoa	,ænθə'zouə
anthracene	'ænθrəsi:n
anthraces	'ænθrəkɔid
anthracic	æn'θræsik
anthraciferous	,ænθrə'sifərəs
anthracite	'ænθrəsait
anthracitic	,ænθrə'sitik
anthracitous	'ænθrəsaitəs
anthracoid	'ænθrəkɔid
anthrax	'ænθrəkɔid
anthropocentrism	,ænθrəpə'sentrizm
anthropogeny	,ænθrə'pɔdʤini
anthropography	,ænθrə'pɔgrəfi
anthropoid	'ænθrəpɔid
anthropological	,ænθrəpə'lɔdʤikəl
anthropologist	,ænθrə'pɔlədʤist
anthropology	,ænθrə'pɔlədʤi
anthropometric	,ænθrəpə'metrik
anthropometrical	,ænθrəpə'metrik
anthropometry	,ænθrə'pɔmitri
anthropomorphic	,ænθrəpə'mɔ:fik
anthropomorphise	,ænθrəpə'mɔ:faiz
anthropomorphism	,ænθrəpə'mɔ:fizm
anthropomorphist	,ænθrəpə'mɔ:fist
anthropomorphize	,ænθrəpə'mɔ:faiz
anthropomorphous	,ænθrəpə'mɔ:fəs
anthropophagi	,ænθrə'pɔfəgai
anthropophagous	,ænθrə'pɔfəgəs
anthropophagy	,ænθrə'pɔfədʤi
antiaircraft	'ænti'eəkrɑ:ft
antiaircrafter	'ænti'eəkrɑ:ftə
antiar	'æntiɑ:
antibilious	'ænti'bijəs
antibiosis	,æntibai'ousis
antibiotic	'æntibai'ɔtik
antibody	'ænti,bɔdi
antic	'æntik
anticatholic	'ænti'kæθəlik
anticholeraic	'æntikɔlə'reiik
antichrist	'æntikraist
antichristian	'ænti'kristjən
antichristianism	'ænti'kristjənizm
anticipant	æn'tisipənt
anticipate	æn'tisipeit
anticipation	æn,tisi'peiʃn
anticipative	æn'tisipeitiv
anticipator	æn'tisipeitə
anticipatory	æn'tisipeitəri
anticlerical	'ænti'klerikəlizm
anticlericalism	'ænti'klerikəlizm
anticlimactic	'æntiklai'mæktik
anticlimax	'ænti'klaimæks
anticlinal	'ænti'klainəl
anticline	'æntiklain
anticyclone	'ænti'saiklou
anticyclonic	'æntisai'klɔnik
